# z cos(z) linterp(z) linteg(z) qspline(z) qderiv(z) qinteg(z)
4.18000000 -0.50759313 -0.50744000 -0.86141718 -0.53320876 0.00000000 -0.82347349
4.20000000 -0.49026082 -0.49026082 -0.87139419 -0.49026082 0.00000000 -0.83413767
4.22000000 -0.47273242 -0.47259149 -0.88102271 -0.49026082 0.00000000 -0.84394288
4.24000000 -0.45501493 -0.45492216 -0.89029785 -0.49026082 0.00000000 -0.85374810
4.26000000 -0.43711544 -0.43702983 -0.89921848 -0.44608749 0.00000000 -0.86311158
4.28000000 -0.41904111 -0.41891450 -0.90777792 -0.44608749 0.00000000 -0.87203333
4.30000000 -0.40079917 -0.40079917 -0.91597506 -0.40079917 0.00000000 -0.88095508
4.32000000 -0.38239692 -0.38228313 -0.92380588 -0.40079917 0.00000000 -0.88897107
4.34000000 -0.36384171 -0.36376709 -0.93126639 -0.40079917 0.00000000 -0.89698705
4.36000000 -0.34514097 -0.34507383 -0.93835568 -0.35450907 0.00000000 -0.90454013
4.38000000 -0.32630218 -0.32620335 -0.94506845 -0.35450907 0.00000000 -0.91163031
4.40000000 -0.30733287 -0.30733287 -0.95140382 -0.30733287 0.00000000 -0.91872049
4.42000000 -0.28824063 -0.28815512 -0.95735870 -0.30733287 0.00000000 -0.92486715
4.44000000 -0.26903310 -0.26897738 -0.96293002 -0.30733287 0.00000000 -0.93101381
4.46000000 -0.24971796 -0.24966996 -0.96811714 -0.25938850 0.00000000 -0.93668102
4.48000000 -0.23030294 -0.23023288 -0.97291617 -0.25938850 0.00000000 -0.94186879
4.50000000 -0.21079580 -0.21079580 -0.97732646 -0.25938850 0.00000000 -0.94705656
4.52000000 -0.19120434 -0.19114797 -0.98134589 -0.21079580 0.00000000 -0.95127248
4.54000000 -0.17153641 -0.17150013 -0.98497238 -0.21079580 0.00000000 -0.95548839
4.56000000 -0.15179986 -0.15177148 -0.98820550 -0.16167622 0.00000000 -0.95921311
4.58000000 -0.13200259 -0.13196200 -0.99104283 -0.16167622 0.00000000 -0.96244664
4.60000000 -0.11215253 -0.11215253 -0.99348398 -0.16167622 0.00000000 -0.96568016
4.62000000 -0.09225760 -0.09223092 -0.99552781 -0.11215253 0.00000000 -0.96792321
4.64000000 -0.07232578 -0.07230932 -0.99717321 -0.11215253 0.00000000 -0.97016626
4.66000000 -0.05236502 -0.05235654 -0.99842003 -0.06234851 0.00000000 -0.97191127
4.68000000 -0.03238332 -0.03237260 -0.99926732 -0.06234851 0.00000000 -0.97315824
4.70000000 -0.01238866 -0.01238866 -0.99971493 -0.06234851 0.00000000 -0.97440521
4.72000000 0.00761095 0.00760766 -0.99976274 -0.01238866 0.00000000 -0.97465299
4.74000000 0.02760751 0.02760399 -0.99941063 -0.01238866 0.00000000 -0.97490076
4.76000000 0.04759303 0.04758152 -0.99865868 0.03760215 0.00000000 -0.97464863
4.78000000 0.06755952 0.06754025 -0.99750746 0.03760215 0.00000000 -0.97389658
4.80000000 0.08749898 0.08749898 -0.99595707 0.03760215 0.00000000 -0.97314454
4.82000000 0.10740345 0.10737023 -0.99400837 0.08749898 0.00000000 -0.97139456
4.84000000 0.12726495 0.12724149 -0.99166226 0.08749898 0.00000000 -0.96964458
4.86000000 0.14707555 0.14704416 -0.98891906 0.13717711 0.00000000 -0.96739782
4.88000000 0.16682733 0.16677827 -0.98578083 0.13717711 0.00000000 -0.96465428
4.90000000 0.18651237 0.18651237 -0.98224793 0.13717711 0.00000000 -0.96191074
4.92000000 0.20612281 0.20606000 -0.97832220 0.18651237 0.00000000 -0.95818049
4.94000000 0.22565081 0.22560763 -0.97400553 0.18651237 0.00000000 -0.95445024
4.96000000 0.24508854 0.24503759 -0.96929849 0.23538144 0.00000000 -0.95023130
4.98000000 0.26442825 0.26434989 -0.96420461 0.23538144 0.00000000 -0.94552367
5.00000000 0.28366219 0.28366219 -0.95872449 0.23538144 0.00000000 -0.94081605
5.02000000 0.30278266 0.30269088 -0.95286096 0.28366219 0.00000000 -0.93514280
5.04000000 0.32178203 0.32171957 -0.94661686 0.28366219 0.00000000 -0.92946956
5.06000000 0.34065269 0.34058268 -0.93999300 0.33123392 0.00000000 -0.92332060
5.08000000 0.35938709 0.35928021 -0.93299438 0.33123392 0.00000000 -0.91669592
